#separator:tab
#html:true
When was the WTO established?	<ul><li>in 1995</li></ul>
"What are the 2 main <a href=""https://www.instituteforgovernment.org.uk/article/explainer/world-trade-organization"">challenges to WTO authority</a>?"	<div><ul><li>Unlike the EU, the WTO does not have a commission to enforce the rules. It has a small secretariat to provide administrative support and advise the membership on technicalities.</li><li>WTO decisions usually must be reached by unanimty.&nbsp;</li></ul></div>
"What is the <a href=""https://medium.com/@MrWeeble/who-actually-trades-solely-under-wto-rules-1b6127ce33c6"">only country in the world which trades</a> under WTO rules?"	<ul><li>Mauritania<br></li><li>it’s GDP is $4,714million (0.2% of the UK’s),</li><li>&nbsp;50% of its exports consist of Iron Ore, and between 1% and 17% of the population still live in slavery.<br></li></ul>
"<a href=""https://www.theguardian.com/world/2009/apr/02/g20-summit-gordon-brown-hails-deal"">https://www.theguardian.com/world/2009/apr/02/g20-summit-gordon-brown-hails-deal</a><br><br><a href=""https://www.theguardian.com/commentisfree/2014/dec/01/gordon-brown-legacy-tony-blair-global-economy-uk"">When the great crash broke, as the key players </a>in the US administration later admitted, it was Brown they turned to: Brown who, at the critical hour,&nbsp;<a href=""https://www.theguardian.com/business/2008/oct/13/marketturmoil-creditcrunch"">came up with the plan to recapitalise the ailing banks</a>. When the G20 came to London in April 2009, Brown was in the chair,&nbsp;<a href=""https://www.theguardian.com/world/2009/apr/02/g20-summit-gordon-brown-hails-deal"">winning agreement for a $5tn stimulus</a>&nbsp;to the world economy, a move widely credited with preventing a global recession tipping into a global depression. No wonder the august Brookings Institution later declared the London G20 “<a href=""http://www.brookings.edu/research/opinions/2010/04/05-g20-summit-linn"">the most successful summit in history</a>”."	
What are the criticisms of the WTO?	"<ul><li>Uses TRIMs which prevents capital controls.&nbsp;</li><li>And <a href=""https://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=&amp;ved=2ahUKEwi9i93Zlrn_AhVlQkEAHUAkABoQFnoECBIQAQ&amp;url=https%3A%2F%2Fwww.wto.org%2Fenglish%2Ftratop_e%2Ftrips_e%2Ftripfq_e.htm&amp;usg=AOvVaw2CQwhyRHDLsJ4f5LtRiq8r"">TRIPs</a> - intellectual property rights. E.g. vaccines for Covids could not be replaced with generic.&nbsp;</li><li>Solely concerned about expanding global trade. Does not address problems related to the impact on workers rights, child labour, environmental degredation.&nbsp;</li><li>Forces developing countrie to open up to foreign competition and prevents them from persuing ISI.&nbsp;</li><li>Lobbying groups and powerful nation states have a disproportionate level of influence</li><li>The Doha Round of trade negotiations is frozen because developed countries are not prepared to open their markets to cheaply produced agricultural produce from the developing world.&nbsp;</li><li>Has no authority to impose - Trump undermined their authority when he imposed tariffs on China. Biden continues. EU subsidies agriculture.&nbsp;</li></ul>"
How much aid did the G8 give at gleneagles?	<ul><li>$40bn worth of debt relief.&nbsp;</li></ul>
What percent of global GDP is the G7?	30%
What percent of global GDP is the G20?	<ul><li>85%</li></ul>
What are the succeesses of the G20 and G7	<ul><li>Provides a regular point of contact for the world's most powerful countries to meet and discuss issues, encouraging trust and co-operation. This year's G7 summit will be discussing the War in Ukraine and Nuclear Disarment. Being hosted in Japan.&nbsp;</li><li>Both allow member states to co-ordinate action on collective dialemmas such as the global economy, climate change, terrorism, WMDs.&nbsp;</li><li>Present a united front. E.g. At Carbis Bay (2021), the G7 issued a joint statement calling on China to respect human rights and international trade laws.</li><li>In 2021, G7 Summit at Carbis Pay committed members to providing $100bn per year to help the developing world combat climate change. It also committed 1bn Covid vaccines to the developing world.&nbsp;</li></ul>
What are the criticisms of the G7 and G20?	<ul><li>G7 has been criticised for seeking to reinforce the structural dominance of the Global North. Given chainging balance of power and growing importance of the G20, legitimacy has been question.&nbsp;</li><li>In 2020 Trump stated that 'it's a very oudated group of countries', Russia, SK, India and Australia should be allowed to join.&nbsp;</li><li>G20 is underrepsresntative for African countries</li><li>Often accused of being a 'talking shop' where countries just talk but no action.&nbsp;</li></ul>
What is the purpose of the G20?	<ul><li>Promote international financial stability and replace the G7 as the main economic forum of wealthy nations.&nbsp;</li><li>G20 has created the Financial Stability Board to co-ordinate natonal financial regulatory bodies to improve financial regulation.&nbsp;</li></ul>
How much aid did the G20 agree to stimulate economic growth after the GFC?	<ul><li>£500billion.</li></ul>
"Why has the Doha <a href=""https://www.alevelpolitics.com/globalpolitics/the-main-criticisms-of-the-wto"">round failed</a>&nbsp;to make progress?"	<div>The Doha Round is the currently ongoing round of negotiations in the WTO which is aimed at enabling developing countries to grow economically at a greater rate and with greater trade security. However, the round has been stalled by powerful, dynamic voting blocs (like the EU and the NAFTA countries) refusing efforts to abandon agricultural subsidisation, a policy which currently wreaks havoc on agricultural sectors across the developing world and which encourages agricultural dumping by developed states which significantly overproduce. </div><br>
How much stimulus for the global economy did the London G20 meeeting agree upon in 2009?	<ul><li>$5rillion&nbsp;</li><li>To prevent the global recession tipping into global depression</li></ul>
How much money did the G7 commit to paying developing countries in 2021	"In 2021, G7 Summit at <a href=""https://www.bbc.co.uk/news/world-57461670"">Carbis Bay </a>committed members to providing $100bn per year to help the developing world combat climate change.&nbsp;"
"What happened at the <a href=""https://www.whitehouse.gov/briefing-room/statements-releases/2023/05/21/fact-sheet-the-2023-g7-summit-in-hiroshima-japan/"">G7 summit in Hiroshima</a>?"	<ul><li>Renewed their commitment to protecting Ukraine</li><li>United on climate change</li><li>Reaffirmed the importance of disarment and non proliferation agreements.&nbsp;</li></ul>
