#separator:tab
#html:true
When were the IMF and World Bank established?	In 1944.&nbsp;
"Why did David Malpass resign?<br><img src=""paste-0a0a5736f5027acbbd0c5ccc203e49ce57d01106.jpg"">"	"<ul><li>Malpass, who was appointed by Trump in 2019 as world bank chief, announced his resignation, after sparking controversy by failing to say wheterh he accepted that fossil fuels were driving the <a href=""https://www.theguardian.com/business/2023/feb/15/david-malpass-world-bank-president-steps-down"">climate crisis</a>.&nbsp;</li></ul>"
How did James Wolfensohn (president between 1995-2005) improve the World Bank?	"<ul><li>Pushed the bank to move increase debt relief</li><li>Set up an anti corruption task force to prevent money being wasted.</li><li>He broadened the banks lending programmes away from the sole support of the hard infrastructure of dams, power generation and ports, towards the social infrastructure of education, particiuarly of <a href=""https://www.theguardian.com/business/2020/dec/25/james-wolfensohn-obituary"">women</a>.&nbsp;</li></ul>"
Why are there currently 21 countries (e.g. Ethiopia, Lebanon, Venezuala) that are in default, but the IMF has not lent any money to?	<ul><li>Because the IMF only lends to countries that have sustainable debts, and there is a possibility of them being paid back.&nbsp;</li><li>This is why Lebanon has been in default for the past 3 years</li></ul>
Which countries are the usual offenders which are often recieving bailouts from the IMF?	Argentina, Egypt and Pakistan.&nbsp;
"What happens when countries <a href=""https://idsa.in/askanexpert/what-happens-when-a-country-defaults-on-sovereign-debt"">default</a> on their debt?&nbsp;"	<ul><li>The most immediate impact of sovereign default is that borrowing cost rises for the government in the domestic and international bond market</li><li>The higher interest will impact the entire economy of the country, including the value of currency, banking system, stock market, corporate borrowing, etc.&nbsp;</li><li>The default also leads to a loss of reputation, which makes it harder for the government to borrow money in the future.&nbsp;</li><li>According to the Bank of Canada and Bank of England sovereign debt database, since 1960, 147 governments have defaulted on their obligations. Sri Lanka is the latest addition to this list.</li></ul>
"How much <a href=""https://www.bbc.com/news/business-65420924"">money has been lent to Sri Lanka by the</a> IMF?&nbsp;"	<div><div><div><b>The International Monetary Fund is lending Sri Lanka $3bn (£2.4bn) to help it deal with its worst economic crisis in its history as an independent nation.</b></div></div></div><div><div></div><br></div>
"How did the <a href=""https://www.bbc.co.uk/news/business-50069765"">IMF help Brazil</a> in 2002?"	"<div><div><div>In 2002,&nbsp;<a href=""http://news.bbc.co.uk/1/hi/business/4527438.stm"">Brazil obtained IMF loans to avoid defaulting on its debts</a>. The government was subsequently able to turn the economy around relatively quickly, and paid off its entire debt two years ahead of schedule.&nbsp;</div></div></div>"
What are the criticisms of the IMF?	<ul><li><b>Imposes Washington Consensus/Austerity policies</b> as conditions to loans. These policies tend to make the problem worse as they cause recessions when the economy needs a boost. E.g. iduring the Asian Crisis Indonesia, Malaysia and Thailand were forced to persue tight fiscal and monetary policy, but this caused recession.&nbsp;</li><li>Encourages PPD&nbsp;</li><li>Undermines national sovereignty.&nbsp;</li><li>The president of the IMF is by convention always a European (Kistalina Georgieva since 2019), so might be biased in favour of the West.&nbsp;</li><li>The US holds an effective veto over how the imf conducts business. (Decisions require 85%, US holds over 15%)</li><li>The IMF failed to conduct surveilance because it did not forsee the global financial crisis and the Euro sovereign debt crisis.&nbsp;</li></ul>
What are the succeses of the World Bank?	"<ul><li>Encourages contries to diversify away from primary products by providing loans for investment. This has allowed countries to move to manufactured goods and improve terms of trade. E.g. in Rwanda, computing in Africa</li><li>World Bank also helps build critical <a href=""https://www.worldbank.org/en/news/feature/2023/03/22/in-haiti-access-to-water-and-sanitation-is-vital-and-the-world-bank-is-making-this-possible"">infrastructure for poor countries</a>. For example an $80million loan was given to provide water services in Haiti.&nbsp;</li><li>It also seeks to strenghen human capital - through investing in education, training, gender equality schemes and fighting diseasees like AIDS.&nbsp;</li><li>It accounts for environmental sustainability when conducting projects</li><li>World Bank has become increasingfly focused on 'country ownership' so states have greater say over how loans are spent. They also sometimes give cash transfer.&nbsp;</li><li>When the pandemic hit the world bank made $160billion of aid available, with 50bn specifically for Africa.&nbsp;</li></ul>"
What are the criticisms of the World Bank?	"<ul><li><b>Too much influence to America -&nbsp;</b>White House appoints the World Bank president. E.g. David Malpass.&nbsp;<br></li><li><b>Forces free trade and deregulation</b>. According to World Systems theory this upholds poverty as developing countries cannot compete with cheap produced products.&nbsp;</li><li><b>Encourages cash crops like cocoa and coffee</b> - countries are primary product dependent. Vulnerable to volatile prices. Land goes to exports which causes famine</li><li><b>Loan money spent on corruption</b> -&nbsp; E.g. Ferdinand Marcos syphoned loan money that was meant for power stations.&nbsp;</li><li><b>Unsustainable development -&nbsp;</b>Marshland and deforstation to grow crops for exports.&nbsp;<br></li><li>
<div>
<div>
<div>
</div></div></div></li><li><span style=""font-weight: 600;"">It spends too little on development: </span>The USA spent $600 billion on its military in 2016, while
the World Bank spent just $63 billion on global economic development.&nbsp;<br></li><ul>
</ul>


</ul>"
How is China rivalling the world bank?	"<ul><li>In 2014, the Chinese led Asian Infrastructure Bank was established.&nbsp;</li><li>Currently has 106 members.</li><li><a href=""https://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=&amp;cad=rja&amp;uact=8&amp;ved=2ahUKEwjrr_yTlLn_AhXGbMAKHeRyBHsQFnoECDYQAw&amp;url=https%3A%2F%2Fwww.aiib.org%2Fen%2Fabout-aiib%2Fwho-we-are%2Four-work%2Findex.html%23%3A~%3Atext%3DAIIB%2520offers%2520sovereign%2520and%2520non%2Cand%2520urban%2520development%2520and%2520logistics.&amp;usg=AOvVaw3zAEb0Eq4nqBdx5UaLQ3z0"">AIIB offers sovereign </a>and non-sovereign financing for sound and sustainable projects in energy and power, transportation and telecommunications, rural infrastructure and agriculture development, water supply and sanitation, environmental protection, and urban development and logistics<br></li></ul>"
What are the problems with Structural Adjustment Policies (SAPs)	<ul><li>Exposure to competition kills infant industries, drives down wages, leads to poorer working conditions and wages.&nbsp;</li><li>Many countries sold off state owned utilities to quickly meet conditions of loans, often cheaply to attract buyers, but this reduced revenue available to repay loans and deprived government of revenue.&nbsp;</li><li>Encourages <b>Primary Product Dependency -&nbsp;</b>Countries refocus economies on cash crops such as timber, coffee, tea, bananas. Bad for environment. Producing cash crops reduces the land under cultivation to produce food for local population, which can lead to famine. TNCs and Monopsonies can dictate prices farmers recieve and perpetuate poverty.&nbsp;</li><li>Reduced public spending means less investment in educationa nd health.&nbsp;</li><li>The record of SAPs are poor. Countries like China who had their own national strategy did better</li></ul>
What are the successes of the IMF	"<ul><li>Has promoted growth <a href=""https://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=&amp;ved=2ahUKEwjR15um47z_AhUeQ0EAHV-fA_0QFnoECAgQAQ&amp;url=https%3A%2F%2Fourworldindata.org%2Fgrapher%2Fworld-gdp-over-the-last-two-millennia&amp;usg=AOvVaw3_EAH3Hy_yyToMuuN4C2AV"">- Global GDP has over doubled since </a>1990&nbsp;</li><li>Promotes stability - IMF provides loans to countries that are at risk of default and are in debt distress. Acts as a source of expertise. E.g. bailout to sri lanka, pakistan</li><li>Adapted to changing international contexts - US abandoned the gold standards, so the IMF refocused onto debt reduction and development.&nbsp;</li><li>Has responded to criticism of underrepresentation of developing countries in decision making by increasing the quotas for Brazil, India, China and Russia. (Allocation of votes reflects quotas)</li></ul>"
Who appoints the world bank president?	<ul><li>The White House.&nbsp;</li><li>Caused controversy e.g. David Malpass resigned because he was a climate change denialist.&nbsp;</li></ul>
What did the IMF and World Bank replace SAPs with?	<ul><li>They replaced them with Poverty Reduction Strategy Papers. PRSPs</li><li>They are more flexible, allow for more input from recipient countries, place more empasis on poverty reduction and allow longer loans of up to 7 years. More consideration of sustainable development, environment.&nbsp;</li><li>However, there has been no fundamental change in the belief in free market solutions</li></ul>
"<div>
<div>
<div>
<div>
<ul>
<li>
<div>Conditions to loans- In <span class=""cloze"" data-cloze=""Tanzania"" data-ordinal=""1"">[...]</span>&nbsp;water privatisation was a condition for a loan, and in <span class=""cloze"" data-cloze=""Ghana"" data-ordinal=""1"">[...]</span>&nbsp;the
school system switched to a fee paying model as a condition of a loan from the WB. WB also
threatened to withhold a $330m loan from Tanzania in 2018 if it did not change its education
policies.&nbsp;</div>
</li>
</ul>
</div>
</div>
</div></div>"	"<div>
<div>
<div>
<div>
<ul>
<li>
<div>Conditions to loans- In <span class=""cloze"" data-ordinal=""1"">Tanzania</span>&nbsp;water privatisation was a condition for a loan, and in <span class=""cloze"" data-ordinal=""1"">Ghana</span>&nbsp;the
school system switched to a fee paying model as a condition of a loan from the WB. WB also
threatened to withhold a $330m loan from Tanzania in 2018 if it did not change its education
policies.&nbsp;</div>
</li>
</ul>
</div>
</div>
</div></div><br>
"
"
<div>
<div>
<div>
<div>Examine the criticisms that have been made of both the International Monetary Fund (IMF) and the World Bank.&nbsp;</div>
</div>
</div>
</div>"	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">IMF</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">World Bank&nbsp;</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Imposition of Washington Consensus.&nbsp;</li><li>This erodes sovereignty,&nbsp;</li><li>Might be counterintuitive as Austerity is self-perpetuating.&nbsp;</li><li>President of the IMF is by convention always a European</li><li>The US holds an effective veto&nbsp;</li><li>The IMF failed to conduct surveilance because did not forsee the GFC and the Euro sovereign debt crisis.&nbsp;</li><li>Head of IMF is a European</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Too much American Influence - White House appoints the president of the World Bank</li><li>Forces SAPs as conditions to loans&nbsp;</li><li>Encourages cash crops like cocoa and coffee -&nbsp;&nbsp;</li><li>Money is spent on corruption</li><li>Unsustainable development</li><li>Too little money is spent on development</li></ul></td></tr></tbody></table>"
Why did South Korea have to seek a loan from the IMF?	"<ul><li>High debts and inefficiencies led to market panic and capital flight&nbsp;</li><li>Capital flight meant that the South Korean government did nothave enough to pay off debts.&nbsp;</li><li>So had to seek a loan from the IMF</li><li><a href=""https://www.google.com/imgres?imgurl=https%3A%2F%2Fassets.bwbx.io%2Fimages%2Fusers%2FiqjWHBFdfxIU%2FiwlflfCXWX0k%2Fv1%2F-1x-1.jpg&amp;tbnid=J0Rv4c7MwkVFLM&amp;vet=12ahUKEwjeisS77cb_AhUVpCcCHQBYDzYQMygAegUIARC1AQ..i&amp;imgrefurl=https%3A%2F%2Fwww.bloomberg.com%2Fopinion%2Farticles%2F2019-05-02%2Fsouth-korea-s-economy-doesn-t-need-another-imf-rescue&amp;docid=RaDvwm2HbXmrnM&amp;w=2048&amp;h=1472&amp;q=south%20korea%20imf&amp;client=safari&amp;ved=2ahUKEwjeisS77cb_AhUVpCcCHQBYDzYQMygAegUIARC1AQ""><div><img alt=""South Korea's Economy Doesn't Need Another IMF Rescue - Bloomberg"" src=""paste-14782e0216d9578dca6421c3ea67c5d0778788a1.jpg""></div></a></li></ul>"
Why is getting a bailout from the IMF and accepting structural adjustment better than default?	<ul><li>Because a default creates market panic. Investors no longer want to buy government bonds and lend to a country.&nbsp;</li><li>this makes borrowing more expensive and increases the cost of servicing government debt.&nbsp;</li><li>So they have to accept structural adjustment</li></ul>
How many times has the IMF given loans to Pakistan?	<ul><li>22 times.&nbsp;</li><li>Suggests that saps don't work</li></ul>
How much money did the IMF give to developing countries in 2020?	<ul><li>50bn</li></ul>
"How much did did the world bank make available during the <a href=""https://www.business-standard.com/article/international/world-bank-to-rescue-announces-160-bn-assistance-to-100-nations-120052001763_1.html"">pandemic</a>?"	160bn
Where is the IMF managing director from? What is her name?	<ul><li>Kristalina Georgieva<br></li><li>She is from Bulgaria</li></ul>
