#separator:tab
#html:false
According to Oakeshott, 'to be a Conservative is [...]	According to Oakeshott, 'to be a Conservative is to prefer the tried to the untried'
What are Micheal Oakeshott's (1901-1990) main ideas? What does he see about human nature?	Rationalism in Politics (1962) and On Human Conduct (1975).      Humans are imperfect - do not have mental faculties to make sense of complex modern world Theories and ideologies oversimplify complex situations Therefore actions should be guided by pragmatism and practical experience, rather than ideology
What did Oakeshott think about the Bolsheviks and Fascists?	Clear examples of misguided human rationalism in politics. A foolish oversimplification
What did Oakeshott thank about rationalism?	Rationalist politics is based on abstract principles and systems of ideological thought.          Rationalist politics leads to destruction and the creation of a new political and social order.    Parliamentary instituions devoped pragmatically and have existed for centuries
Why does Oakeshott believe in a pragmatic approach?	can deliver what is in the best interests of the people without overstepping the limits of public acceptance     maintains social stability and cohesion by emphasising moderation, cautious change where necessary, and a sense of   historical continuity     is flexible, reflecting complex and shifting social realities, unlike rigid theories and ideologies which encourage dogmatic decision-making.
What are Ayn Rand 's(1905-82)main ideas?	The Fountainhead (1943) and Atlas Shrugged (1957).       Objectivism –this advocates the virtues of rational self-interest as the highest moral aim. People should work hard to achieve purpose and productivity. Achieves the best outcomes for society. She called it 'the virtue of selfishness' or 'ethical egoism'    Freedom - she called herself a 'radical for capitalism' and called for 'a full, pure uncontrolled, unregulated laissez faire economy'. This achieves the best outcomes
What did Ayn Rand think about regulation?	Rand hated it          Rand referred to this opposition to external coercion of the individual as the ‘non-aggression principle’.     Any attempt, said Rand, to control or regulate an individual’s actions corrupted the capacity of that person to work freely as a productive member of society, mainly by undermining his or her practical use of reason Hence why low taxation
Why did Ayn Rand condemn alturism?	Because it creates an 'artificial' sense of obligation and expectation, and did not accord with an individual's rational self interest.
What were Robert Nozick's (1938-2002) main ideas?	Anarchy, State, and Utopia (1974), - minimal state       Libertarianism–based on Kant’s idea that individuals in society cannot be treated as a thing, or used against their will as a resource. They are means in of themselves    Self-ownership – individuals own their bodies, talents, abilities and labour.  Concern over the role of the state and wealth distribution. Individuals should have as much liberty 'taxation is theft'
Why does Nozick support Kant's ideas	The assumption that individuals are inviolable end in themselves, Nozick argued, gives them rights to their lives, liberty and the rewards resulting from their labour. According to Nozick, these rights act as ‘side-constraints’ on the actions of others by setting limits on how a person may be treated.For example, an individual cannot be forced against his or her will to work for another person’s purposes (even if those purposes are good). - hence why 'taxation is theft or a form of forced labour''
Why are taxes immoral according to Nozick?	they amount to a type of forced labour imposed on the individual by the state     they treat individuals as a means or resource to further the goals of equality and social justice and, in so doing, violate the principle that humans should be seen as better ends in themselves.    Therefore, the only state that can be morally justified is a 'nightwatchman' state
Why did Nozick believe that taxation violated self ownership?	Taxation gives others an entitlement to reap the benefits of an individuals Labour. This makes taxation a form of slavery. Citizens entitled to benefits become partial owners of the individual since they have partial property rights over his or her labour.
What did Nozick think about the state telling people what to do?	Anything more extensive than the minimal state also compromises self-ownership. For example, a state that regulates what people eat, drink, or smoke interferes with their right to use their self- owned bodies as they want.
According to Ayn Rand, the New York Skyline is the...	Will of man made visible
