#separator:tab
#html:true
Which two countries withdrew from the International Criminal Court (2002)	<ul><li>Burundi (2017) and the Philipphines (2019)</li></ul>
Is the ECHR effective?	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Yes</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">No</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">All European states, except Belarus and Russia are members of the Council and so are members of the ECHR&nbsp;</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">Like the ICJ and ICC, the European Court of Human Rights lacks coercive authority</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">Seveal key judgements by the ECHR have had significant impact on UK law. E.g. Abu Qatada</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">The Uk government has failed to comply with a number of its rulings, such as the prohibition of prisoner voting being in defiance of the convention.&nbsp;<br>In 2020 the UK government also ignored demands by the court to reopen a number of murder cases connected with the Troubles in Norther Ireland</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">Smith and Grady v UK, 1999. The UK Complied with a court ruling that homosexual people could not be barred from serving in the British military&nbsp;</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">Russia has declared that its national law takes precedence over the European Convention</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">Chowdury and Others v Greece 2017 - When Bangadeshi fruit pickers went on strike because of inhumane treatment, they were fired on by their guards. Greek courts only convicted teh defendants of illegal firearms possessions and causing grievous bodily harm. The ECHR went much further, ruling that the workers had been subject to forced labour and human trafficking. Greece has acknowledged the extent to whcih migrant labour is exploited and has introduced new measures to tackle such exploitation</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">Polands conservative culture, based on strong Catholic traditions, has meant that Poland has often acted in defiance of the ECHR in cases involving abortion and LGBT Rights.&nbsp;</td></tr></tbody></table>"
Why did the UN create war crimes tribunals in Cambodia, Yugoslavia, Sierra Leone and Rwanda?	"<ul><li>To bring the perpetrators to justice.&nbsp;</li><li>To develop the principles that heads of state can be held to account e.g. <a href=""https://www.cfr.org/timeline/leaders-facing-justice"">Milosevic</a>&nbsp;(indicted with war crimes) and Jean Kambanda (Rwandan Prime Minister accused of genocide)</li><li>Expose the horors of these crimes to stop repeat</li><li>Establish the principle that the international community will not tolerate such abuses.&nbsp;</li></ul><div><br></div>"
"<img src=""paste-3627fb269a35ba10b047a958be52f5294a825e9e.jpg""><br><img src=""paste-82b0a38478c9a87d662d1b137ff543605cae3e0f.jpg"">"	
Why have International Triubunals been accused of double standards and implementing victors' justice?	<ul><li>NATO bombing of civiliian targets in Belgrade in 1999 was not investigated by the ICTY, suggesting that it was not impartial.&nbsp;</li><li>In the aftermath of the Rwandan genocide, it was alleged that the Tutsi Rwandan Patriotic Front also massacred Hutus, but the Rwandan Tribunal ignored this.&nbsp;</li><li>Human rights abuses committed by the West during war on terror yet no one wants to put Tony Blair or Bush on trial</li><li>The establishment of the UN tribunals has been inconsistent, undermining its calim to be establishing a new principle of impartial international justice. Saddam Hussein for example was tried by an Iraqi courrt under the authority of the American occupation</li></ul>
Why was Ratko Mladic sentenced to life imprisonment for genocide?	"<ul><li>Because in July 1995, Mladic ordered his troops to slaughter 8000 Muslim men and boys.&nbsp;</li><li>He was eventually convicted in 2017, 22 years after the <a href=""https://www.theguardian.com/commentisfree/2017/nov/22/ratko-mladic-bosnia-camps-mass-murder-torture-rape-serbian"">massacre</a>.&nbsp;</li></ul>"
How many states have ratified the Rome Statute and accepted the jurisdiction of the ICC?	<ul><li>Only <b>123</b></li></ul>
What are the successes of the ICC?	<ul><li>The existance of the ICC means that the principle of international justice and punishment is permenently represented.&nbsp;</li><li>Unlike the ICJ, the ICC has a chief prosecutor who can initiate prosecutions on authority of the court.&nbsp;</li><li>The ICC has secured the conviction of notorious war criminals such as <b>Thomas Lubanga</b> for using child soldiers duing the Congolese civil war</li><li>In 2019 the ICC convicteed the Congolese warlord Bosco Ntaganda of war crimes and crimes against humanity. 30 year sentence is the longest the court has ever given.&nbsp;</li></ul>
What are the failures/criticisms of the ICC?	"The liberal standards and international law conflicts with the realist self intersts of sovereign states<br><ul><li>Three permanent members of the UNSC (China, Russia and the USA) refused to accept the ICCs jurisdiction over their internal affairs</li><li>Influential emerging powers such as India and Turkey do not recognise the ICCs authority. Only 123 states have ratified rome statute</li><li>70% of the world's population is outside of the jurisdiction.&nbsp;</li><li>Lacks coervice power - if a state refuses to co-operate, it cannot encorce compliance. An ICC investigation into Kenyan President Uhuru Kenyatta was dropped because of a lack of co-operation.&nbsp;</li><li>By 2020 the Court had indicted and convicted only Africans, leading to claims that the ICC has a neo-colonial bias against Africa. in 2017 Burundi withdrew.&nbsp;</li><li>Between 2002 and 2020 the ICC secured only 8 convictions and 4 acquittals in spite of claims of a global jurisidiction</li></ul><div><img src=""paste-1dceee8f3902732544288c2164464fbe1b6600af.jpg""><br></div>"
What is the difference between universalist and cultural relatavist interpretations of human rights?	<ul><li>Universalists argue that there is a global standards of human rights that all nations should equally enforce. E.g. The UDHR (1948)</li><li>Cultural relativists respond that different nations possess different, but equally valid attitudes towards human rights and so a universal standard is unnecessary and unhelpful&nbsp;</li></ul>
Why is it so difficult to enforce an international standard of human rights?	
Why has there been an increase in humanitarian intervention?	<ul><li>Since the Cold War, the UN Security Council has been less divided detween US and soviets, making action easier.&nbsp;</li><li>Broadcasting technology makes human rights abuses difficult to conceal&nbsp;</li><li>Leaders such as Bill Clinton (Clinton Doctrine 1999) and Tony Balri (Chicago Speech, 1999).&nbsp;</li></ul>
Successful vs unsuccessful interventions<br><ul><li>- Sufficiant military force<br></li><li>Commitement to nation building&nbsp;</li><li>International and regional support</li><li>Realistic objectives</li></ul>	"<img src=""paste-3c7ee7be523edf43e6dc50d530687afd4d92e791.jpg"">"
Why has the West been criticised for hypocrisy in humanitarian interventions?	<ul><li>Because a number of humanitarian crises have been ignored because it is not in the inerests of the West to intervene.&nbsp;</li><li>This is because an ally of the West to intervene (Yemen) or because there are no vital interests involved (Rwanda, Darfur)&nbsp;</li></ul>
"Interventions vs non interventions&nbsp;<br><img src=""paste-97c5004364c0d2a6bdd1cfd3e3f3eb6abd002d80.jpg""><br><img src=""paste-5df5948ff2bd3e15bf9833e64c711f782d63f98f.jpg"">"	
What was Milosevic charged with? Did he ever face justice?	"<div>
<div>
<div><ul><li><div style=""display: inline !important;""><span style=""color: rgb(51, 51, 51);"">Milosevic faced three counts of crimes against humanity and one charge of violating the
laws or customs of war.&nbsp;</span></div></li><li><div style=""display: inline !important;""><span style=""color: rgb(51, 51, 51);"">The most serious indictment against him related to genocide in
Bosnia-Herzegovina between 1992 and 1995. Milosevic was accused of being behind the killing of
thousands of Bosnian Muslims and Bosnian Croats, including the infamous massacre of civilians&nbsp;</span></div>at Srebrenica in 1995.&nbsp;</li><li><span style=""color: rgb(51, 51, 51);"">He died during his defence in 2006&nbsp;</span></li></ul>
<ul>
</ul>
</div>
</div>
</div>"
Why was intervention in Sierra Leone between 1999 and 2005 successful?	"<ul><li><div>
<div>
<div>
<div>
<div>Intervention in
Sierra Leone was effective in bringing to an end a ten-year-long civil war that had
killed about 50,000 people, and also in providing the basis for parliamentary and
presidential elections, held in 2007.&nbsp;</div>
</div>
</div>
</div></div></li></ul>"
Where has the UK sold arms?	<ul><li>To Saudia Arabia, which was then used in a military campaign in 2015 against Iranian backed Houthi rebels in 2015. Indiscriminate bombing led to a humanitarian catastrophe. The UK government has approved arms exports of over £3.3bn</li><li>To Bahrain. Government has been accused of human rights abuses to put down pro democracy protests.&nbsp;</li></ul>
Why has the US been accused of hypocrisy?	<ul><li>They preach democracy and human rights, but overthrow democratically elected governments and support military regimes and dictatorships.&nbsp;</li><li>Would not tolerate any left wing ideas in South America. E.g. in Chile, Nicaragua, Argentina.&nbsp;</li><li><b>Human rights abuses&nbsp; -&nbsp;</b>Torture in Guantanamo Bay. Use of 'enhanced interrogation techniques'.&nbsp;</li><li>CIA committed war crimes and human rights violations e.g. rape torture in Abu Ghraib prison in Iraq&nbsp;</li><li>Use of covert rendition to transport terrorist suspects to other countries to avoid human rights protections</li></ul>
"How does the ICC infringe<a href=""https://ciaotest.cc.columbia.edu/olj/sa/sa_jan03bha01.html#:~:text=The%20ICC%20does%20involve%20a,perpetrator%20of%20crimes%20against%20humanity.""> on sovereignty</a>?"	<div><ul><li>The ICC does involve a sacrifice of sovereignty, because it envisages asserting itself when a state refuses or fails to use its national criminal justice apparatus to deal with the perpetrator of crime against humanity.&nbsp;</li></ul></div>
"<img src=""paste-1d1b95e0d4a23ade37775e1328ecc33e91e9f345.jpg"">"	
What was the punishment of Saddam Hussein for genocide and crimes against humanity (use of WMD against Kurds)&nbsp;	"<ul><li><span style=""color: rgb(32, 33, 34); background-color: rgb(255, 255, 255);"">On 5 November 2006, Saddam was sentenced to death by&nbsp;</span><a href=""https://en.wikipedia.org/wiki/Hanging"">hanging</a><br></li></ul>"
"<img src=""paste-eec046e38db36b276f5708494f3dc952d6fec7da.jpg"">"	
Was the intervention in Kosovo effective?	"<div>
<div>
<div>
<div><ul><li>The intervention in Kosovo in 1999 succeeded in its goal of expelling Serbian
police and military from the area, helping to end a massive displacement of the
population and prevent possible further attacks. As these two operations were
carried out by NATO air strikes, they involved minimal casualties amongst intervening military personnel. Estimates of the civilians and combatants killed in
Kosovo nevertheless range from 1,500 (NATO) to 5,700 (Serbia)&nbsp;</li></ul></div>
</div>
</div>
</div>"
"<img src=""paste-41c240eec4c774359385505a93c438990be6050f.jpg"">"	
"<img src=""paste-271995ebb17221fae5d9b59207dfa83e0a3cebf2.jpg"">"	
Why was American humanitarian intervention to bring food supplies to Somalia a failure?	"<ul><li><a href=""https://www.youtube.com/watch?v=shZPe8Jzaws&amp;t=414s"">Close to 80% of</a> the food that was supposed to go to starving Somalis instead went into the hands of warlards, who sold it for weapons</li></ul>"
&nbsp;Why did the US withdraw from Somali?	"<ul><li>After the battle of Mogadishu (Black Hawk Down, 1993)) which was a failure and had high casulties (18 dead American soldiers)</li><li>Dead American soldiers were dragged through the streets of Mogadishu by enraged Somalis.&nbsp;</li><li>All US troops withdrew from Somalia in 1994. UN left in 1995 This failure mightbe why Clinton did not intervene in the Rwandan genocide (Somalia Syndrome)</li><li><a href=""https://www.google.com/url?sa=i&amp;url=https%3A%2F%2Fwww.reddit.com%2Fr%2FHistoryPorn%2Fcomments%2Fsk7a0v%2Fsomalis_dragging_dead_us_soldiers_through_the%2F&amp;psig=AOvVaw3EuIBg9omJYJcOQ2h1ORSw&amp;ust=1686692971956000&amp;source=images&amp;cd=vfe&amp;ved=0CA0QjRxqFwoTCMDRkI_bvv8CFQAAAAAdAAAAABAQ""><img alt=""Somalis dragging dead US soldiers through the streets after black hawk  down, Mogadishu, 1993 [283x425] : r/HistoryPorn"" src=""og3c1zfbprf81.jpg""></a><br></li></ul>"
How many died in the 1992 Somalia Famine?	The crisis resulted in an estimated 200,000-300,000 deaths
Did NATO have UN approval for the 78 bombing campaign against Serbia?	<ul><li>No They attempted to get approval but were opposed by China and Russia who indicated that they would veto such a measure.</li></ul>
"Why did NATO launch a bombing campaign against <a href=""https://www.youtube.com/watch?v=mtWxokjQsy0"">Serbia in 1999?</a>"	"<ul><li>Because they attempted to ethnically cleanse <a href=""https://www.youtube.com/watch?v=U2wyk1Hjda0"">Albanian Muslims in Kosovo</a>&nbsp;</li><li>KFOR was formed to maintain peace in Kosovo</li></ul>"
When did the UN Withdraw from Somali?	<ul><li>In 1995, the UN withdrew all peacekeeping forces.&nbsp;</li><li>It was described by one official as 'the worst failure of the UN in our lifetime'.&nbsp;</li></ul>
How did Dutch Peacekeepers allow the massacre at Srebenica to happen?	"<div><ul><li>In July 1995 as the Bosnian Serb forces, under Colonel General&nbsp;<a href=""https://en.wikipedia.org/wiki/Ratko_Mladi%C4%87"">Ratko Mladić</a>, came to take over the enclave, Dutchbat was vastly outnumbered and were far too lightly equipped to repel the more heavily armed&nbsp;<a href=""https://en.wikipedia.org/wiki/Army_of_Republika_Srpska"">Bosnian Serb troops</a>. It also had its request for air support to the UNPROFOR denied. Subsequently, the Serb forces, under Mladić's command, led Srebrenica's Bosniak male inhabitants into the mountains, where thousands of them were&nbsp;<a href=""https://en.wikipedia.org/wiki/Srebrenica_Massacre"">massacred</a>.<sup><a href=""https://en.wikipedia.org/wiki/Dutchbat#cite_note-2"">[2]</a></sup></li></ul></div><br>"
"Why did NATO<a href=""https://www.youtube.com/watch?v=fd4XwEbAFmo""> bomb Libya?</a>"	"<ul><li>For humanitarian reasons.&nbsp;</li><li>Gaddafi wanted to crack down on Arab spring protestors.&nbsp;</li><li>NATO exceeded their mandate to impose a no fly zone. They bombed Gadaffi which resulted in <a href=""https://declassifieduk.org/nato-bombing-of-libya-exceeded-un-mandate/"">regime change</a></li></ul>"
"What does the indictment given by the ICC against Putin and&nbsp;<span style=""color: rgb(18, 18, 18); background-color: rgb(255, 255, 255);"">Russia’s commissioner for children’s rights, Maria Alekseyevna Lvova-Belova mean in reality?</span><br><img alt=""Vladimir Putin"" src=""6693.jpg"">"	"<div><ul><li>The court has issued arrest warrants for the Russian president,&nbsp;<a href=""https://www.theguardian.com/world/vladimir-putin"">Vladimir Putin</a>, and Russia’s commissioner for children’s rights, Maria Alekseyevna Lvova-Belova, in relation to the forced deportation of children from Ukraine to Russia, where many have been adopted by Russian families.</li><li><span style=""color: rgb(18, 18, 18); background-color: rgb(255, 255, 255);"">Because Russia <a href=""https://www.theguardian.com/world/2023/mar/17/icc-arrest-warrant-vladimir-putin-explainer"">does not recognise the court</a> and does not extradite its citizens, it is highly unlikely that Putin or Lvova-Belova will be surrendered to the court’s jurisdiction any time soon.</span><br></li></ul></div>"
"What was the name of the Rwandan Prime Minister convicted of genocide<br><a href=""https://www.internationalcrimesdatabase.org/upload/ICD/CaseFile147/Jean%20Kambanda.jpg""><img alt=""(Source picture: TRIAL)"" src=""Jean Kambanda.jpg""></a>"	<ul><li>Jean Kambanda</li><li>Sentenced to life imprisonment for genocide and crimes against humanity</li></ul>
Examine the effectiveness of both the international courts and tribunals in protecting human rights.	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">AO1</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">AO2</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>ICTR was established after the Rwandan Genocide in 1994 to hold to account those who perpetrated crimes of genocide and crimes against humanity.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Former Prime Minister of Rwanda Jean Kambanda was sentened to life imprisonment and faced justice in the ICC.&nbsp;</li><li>Shows that they can be effective because&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>ICTY was established in 1993 to prosecute for crimes against humanity during the Yugoslav wars</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Succeses include Ratko Mladic, Butcher of Bosnia who slaughtered 8000 muslim men and boys in Srebeneica in 1995</li><li>Former president of Serbia Milosevic. He died before the end of his trial&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>ICC was created by the Rome Statute in 1999 and formerly began operations in 2002. Designed to prosecute for war crimes, crimes against humanity and genocide</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Has held to account high profile individuals such as Thomas Lubanga, who used child soldiers during the Congolese civil war</li></ul></td></tr></tbody></table><br>Charles Taylor (Former President of Liberia) was also prosecuted by the Sierra Leone tribunal for war crimes and crimes against humanity .&nbsp;"
Who was sentenced to life imprisonment by the ICC for using Child Soldiers in the Congolese civil war?	<ul><li>Thomas Lubanga</li></ul>
