#separator:tab
#html:true
What are the 7 functions of political parties?	<ol><li>Representation&nbsp;</li><ol><li>Bring people with certain ideologies as an electoral unit.</li><li>MPs represent their constitutents</li><li>Outside interests - trade unions, businesses.&nbsp;</li></ol><li>Participation and mobolisation of the elctorate</li><ol><li>Canvassing, public meetings, <b>party membership</b></li><li>Electorate is given a&nbsp;<b>choice.&nbsp;</b></li><li>Communicates with the electorate<br></li></ol><li>Policy formulation&nbsp;</li><ol><li>Develop programmes of government through&nbsp;<b>manifesto proposals.&nbsp;</b></li></ol><li>Communication function</li><ol><li>Broadcasts, social media (momentum), podcasts (David Lammy on leading), Question Time,&nbsp;</li></ol><li>Electoral function&nbsp;</li><ol><li>Creates an electoral unit.&nbsp;</li></ol><li>Recruting office holders and forming government&nbsp;</li><ol><li>Creates stability due to the ideological unity.&nbsp;</li></ol><li><b>Opposition function</b></li><ol><li>PMQs, select committees.&nbsp;</li></ol></ol>
What are the drawbacks of state funding?	"<ul><li>
<div>
<div>
<div><span style=""color: rgb(147, 150, 152);""> </span>Taxpayers should not be expected to bankroll parties
that they oppose.</div>
</div>
</div></li><li><div>Parties will always have unequal resources, even if
state funding is introduced — not least because there
will be differences in membership levels, and human
and material resources.&nbsp;</div></li><li><div>Politicians could become isolated from real-world
issues if they are denied access from interest groups.</div></li></ul>"
Who was the Conservative Party leader who transformed it into a party in defense of property and traditional authority?	Sir Robert Peel<br>Wanted to prevent revolution&nbsp;
What was Peel's stance on reform?	He stressed the importance of gradual reform to protect established institutions&nbsp;
What is the central idea behind one nation Conservatism?	"<span style=""color: rgb(55, 65, 81); background-color: rgb(247, 247, 248);"">The 'natural leaders' of society would accept an obligation to act benevolently towards the disadvantaged, in return for acceptance of their right to rule.<br></span>Disraeli spoke of two nations - rich and poor, who were polarised and in conflict"
What is the new right composed of?	<ul><li><b>Neoliberals -&nbsp;</b>who endorse free markets and reduced state interferences in people's lives and businesses&nbsp;<br></li><li><b>Neoconservatives -&nbsp;</b>who want the state to take a more authoritarian approach to morality, law and order.&nbsp;<br></li></ul>
What were the key themes of Thatcherism?	<div>Control of public spending, tax cuts, privatisation, legal limits on trade unions, tough approach to law and order, assertion of British interests abroad, and protection of national sovereignty against the growth of the European Community.</div>
How does Labour plan to monitor government spending in government?	They have pledged to launch a 'Office for Value for Money' to monitor how the government spend
How much does Labour plan to spend on Green infrastructure and jobs?	<ul><li>£28bn a year&nbsp;</li></ul>
Do SNP MPs vote on purely english issues?	They <b>refrain</b> from doing so to underscore the nationalist argument that the two countries should not interfere in each others internal affairs
What are the four different types of party system?	<ol><li><b>A one party dominant system&nbsp;</b></li><li><b>A two party system&nbsp;</b></li><li><b>A two and a half party system</b></li><li><b>A multi party system.&nbsp;</b></li></ol>
What do modern liberals believe?	<ul><li>Individuals cannot be truly free on account of the inequalities produced by free market capitalism&nbsp;</li><li>Freedom was not just about being 'left alone' but required an active state to support people and enable them to reach their potential</li></ul>
What did William Beveridge say about freedom?	<ul><li>A starving man is not free</li></ul>
What are the factors which influence party success?	"<ul><li><b>Party policies&nbsp;</b></li><ul><li>Theresa May's dementia tax, Thatcher's economic prescriptions (Labour isn't working) even though she was 20 points less popular than callaghan. <b>Blair</b> -&nbsp;<i>Tough on Crime, tough on the causes of crime, New Labour because Britain deerves better'.&nbsp;</i>Compared to 'You can only be sure with the Conservatives'. 'The New Deal windfall tax', Blair removed Clause 4. Corbyn's policies were seen as unachievable and Johnson won an 80 seat majority to 'Get Brexit Done'<br></li></ul><li><b>Campaigns</b><br></li><ul><li>20 point lead for Conservatives vanquished after the '<b>youthquake</b>' A&nbsp;frustrated<a href=""https://www.bbc.co.uk/news/election-2017-40237833\""> '<b>nothing has changed'.</b></a>&nbsp;Nick Timothy and Fiona Hill excluded cabinet members from pre-manifesto discussions. Theresa May looked secretive and artificial.&nbsp;</li><li>Huge influx of young people due to Jeremy Corbyn's appeal.&nbsp;</li><li>Gordon Brown's Bigotgate.&nbsp;</li></ul><li><b>Percieved party unity&nbsp;</b></li><ul><li>Constant labour infighting in the 80s. SDP breakoff.&nbsp;</li><li>Conservatives were in a state of civil war in 1992 over the EU. Pro and anti-EU conservatives lost their seats, whilst labour had strong discipline. John Major called 3 cabinet members bastards</li><li>Blairites vs Brownites divisions proved damaging in 2010.&nbsp;</li><li>Labour party infighting in 2017. Many thought their leader was too far left. Had a vote of no confidence in their leader.</li><li>Boris Johnson's sabotage of Theresa May's chequers deal.&nbsp;</li></ul><li><b>Party leadership</b><br></li><ul><li>Micheal Foot was seen to be an extremist whilst Thatcher was revolutionary yet pragmatic.</li><li>Blair was young and dynamic whilst major looked tired and anxious.&nbsp;</li><li>Theresa May was seen to be a 'Maybot' whilst Corbyn was relatable.&nbsp;</li><li>Boris Johnson was well liked, whilst Corbyn was seen as a communist and anti british.&nbsp;</li></ul><li><b>The media&nbsp;</b><br></li><ul><li>85% of the press has a pro Conservative bias.&nbsp;<br></li></ul><li><b>The wider political context</b></li><ul><li>Edward Heath after OPEC crisis.&nbsp;<br></li><li>MPs expenses scandal. Global Financial Crash.&nbsp; &nbsp;<br></li><li>Labour linked the terrorist attack on London bridge with cuts to Police Force under Theresa May.&nbsp;</li><li>Falklands war&nbsp;</li></ul></ul>"
How high was inflation in 1975	<ul><li>28%</li></ul>
What did OPEC do to the price of oil in 1973?	<ul><li>quadrupled the price of a barrel of oil, causing shockwaves in western economy&nbsp;</li><li>resulted in a three day working week</li></ul>
What was party membership in 1953 compared to what it is today?	"<ul><li>4 million were party members in 1953.&nbsp;</li><ul><li>(might have only been this high because of the social benefits)</li><li><a href=""https://www.theguardian.com/news/datablog/2014/sep/29/labour-conservatvies-uk-party-membership-is-tiny"">3 Million Con, 1 Million Labour</a></li></ul><li>Now only 983,000 people are party members</li></ul>"
How much did labour party membership increase from 2013 to 2019?	"<ul><li>Rose from 190,000 in 2013&nbsp;</li><li>To 515,000 in 2016. (<a href=""https://blogs.lse.ac.uk/politicsandpolicy/explaining-the-pro-corbyn-surge-in-labours-membership/"">LSE</a>)</li><li>Jeremy Corbyn created a 'youthquake'</li><li>Momentum used social media to attact young voters</li></ul>"
"&nbsp;How large was May's <a href=""https://www.theguardian.com/politics/2019/jan/15/theresa-may-suffers-historic-defeat-as-tories-turn-against-her"">Brexit defeat</a>? How many of her own MPs rebelled?"	<ul><li>Lost by 230 votes</li><li>118 Conservative MPs rebelled</li></ul>
What are local Labour and Conservatives parties called?&nbsp;	<ul><li>Constituency Labour Party (CLPs)</li><li>Conservative Constituency Associations (CCAs)</li></ul>
How are parties funded in the UK?	<ul><li>Membership fees.&nbsp;</li><li>Donations&nbsp;</li><li>Grants&nbsp;</li><ul><li>Short money is available to the opposotion to help them with Parliamentary duties, but not with election or campaigning expenses.&nbsp;</li><li>Cranbourne money is for the opposition in Lords.&nbsp;</li><li>The electoral commission has £2m to allocate to parties with at least 2 sitting MPs, to develop policies for manifestos</li></ul></ul>
How much in donations did the Tory party recieve during the 2019 election campaign?	"<ul><li>£20 million pounds.&nbsp;</li><li><img alt="""" src=""Donations-insight-figure-2.png""><br></li><li>Individual donations made up 13million</li></ul>"
How much did Labour recieve from the Unions during the 2019 General Election campaign?	"<ul><li>£5 million from unions</li><li><img alt="""" src=""Donations-insight-figure-2.png""><br></li></ul>"
Essay plan - Should parties be state funded?	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">For</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">Agsint</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Reduce dependence on vested interests.&nbsp;</li><li>In May 2020, The Times revealed that the top 50 political donors had donated £35.5 million between them. The Tories recieved £24.9m of that money.</li><li>Lords Sainbury recently donated 2million</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Reliance on state funding might reduce parties links to wider society. Parties need to reach out to recreit members and seek donations, be responsive and cater to a range</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>State funding could be allocated based on an agreed measure of parties popularity and democratic engagement</li><li>This would create a more level playing field, removing the unfair advantages that some parties recieve because they have wealthy backers.&nbsp;</li><li>healthier party system with more choice - increased turnout</li></ul><br></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>It might create a bias in favour of existing parties, as the level of state funding reflects past party performance&nbsp;</li><li>Entrench the power of Labour and Conservative parties</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>The current regulatory framework is inadequate and has faiiled to creatre a level playing field</li><li>State funding creates a better system to prevent breaches of regulation</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Unpalatable.&nbsp;</li><li>The Public already distrusts politicans with public money after the expenses scandal.&nbsp;</li><li>Money would go to parties they do not support. E.g. BNP</li><li>Also, reduces the right of the individual to use thei choose.</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">data1</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">data2</td></tr></tbody></table>"
Why did Peter Cruddas resign as co-treasurer of the Conservatives?	"<ul><li>In 2012, the then co-treasurer of the Conservatives, Peter Cruddas,&nbsp;<a href=""https://www.theguardian.com/politics/2012/mar/25/peter-cruddas-resigns-cash-access"">resigned</a>&nbsp;after another <a href=""https://www.theguardian.com/politics/2021/apr/13/what-other-lobbying-scandals-have-there-been-in-british-politics"">undercover newspaper</a> operation found he had told would-be party donors that a “premier league” sum of more than £200,000 would grant them direct access at social events to the then prime minister and the chancellor, David Cameron and George Osborne.</li><li>Boris Johnsone made Cruddas a peer in 2020, in defiance of advice from Lords appointment commission.&nbsp;</li></ul>"
How many party members are there at the moment? As of August 2022? How many Labour and Conservative	"About 750 thousand party members.&nbsp;<br>432 thousand labour&nbsp;<br>172 thousand tories<br><img src=""paste-8f6127f3fd618737dd630e4089568f81dc924426.jpg"">"
"How does Daniel Chandler propose that party funding should be organised? What are his '<a href=""https://www.theguardian.com/commentisfree/2023/apr/14/labour-policies-philosophy-john-rawls-neoliberalism"">tough measures to get money out of politics</a>'?&nbsp;<div><br></div>"	<div><ul><li>Capping individual donations at a very low level&nbsp;</li><li>Instead giving every citizen a “democracy voucher” of, for example, £50, to donate to the party to their choice.</li></ul></div><br>
Essay plan - Evaluate the view that parties hinder representative democracy.&nbsp;	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Hinder<br><b>Other problems - often political parties are obsessed with 'spin' and distorting truths to ensure that the&nbsp;<br></b>The two party system leaves a lack of choice for the electorate</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">Help&nbsp;</th></tr></thead><tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>They are not representative of the wider public.&nbsp;</li><li>Mostly Oxbridge educated, privately educated, white&nbsp;</li><li>No longer manual worker, usually lawyers.&nbsp;</li><li>Minority rights are therefore at risk - immigration, trans, culture wars. 30p Lee. Tyranny of the majority.&nbsp;</li><li>As a result they usually represent an elite group of people.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>However, it has gotten better in recent years.&nbsp;</li><li>Recent Conservative cabinets have been the most diverse in British history. We now have an Asian PM, Home Secretary. Kemi Badenoch.&nbsp;</li><li>Lee Anderson, Angela Rayner - Working class MPs.</li><li>High numbers of LGBTQ MPs - Chris Byrant, MP for Rhondda, Luke Pollard</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Parties can often override local democracy. The central party determines who ends up on party lists and what candidates run for each seat.&nbsp;</li><li>The three line whip system - MPs will not vote based on what their constituents want, but instead vote on based on the three line whip system. This created many problems during Brexit, as many Remain MPs had Leave constituency. E.g. <a href=""https://inews.co.uk/news/politics/every-leave-constituency-with-a-remain-mp-62387"">Lisa Nandy, Ken Clarke, Amber Rudd</a></li><li>For example, despite being an MP for Islington North since 1983, Jeremy Corbyn has had whip removed. The nature of FPTP&nbsp;</li><li>Party unity has declined in recent years - ERG, Common Sense Group, Blairites, Starmerites, Corbynites.</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>You need a government to be formed, with policy allignment.&nbsp;</li><li>Encourages a 'broad coalition' of people with broad ideological agreement. Yes Corbyn was removed from the whip, but they create a broad consensus and set of ideas. This gives voters an electoral choice.&nbsp;&nbsp;</li><li>Necessary for the machinery of the modern democracy. Parties are necesssary to&nbsp;</li><li>Opposition scrutinises the electorate&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Party membership has dimished in recent years. Does not accurately represent the electorate - Liz Truss was voted in by the Conservative party membership, but this was an absolute disaster</li><li>1950 - 4 million party members. Now around 750,000.&nbsp;</li><li>As of August 2022, government statistics show that there are only around 750 thousand party members</li><li>Party is taken over by donors and the wealthy - Bernie Ecclestone, Lord Sainsbury, Lebvedev, Cruddas.&nbsp;</li><li><b>Influence of the media -&nbsp;</b>Murdoch, Andy Coulson, Rebekah Brooks.&nbsp;<br></li><li>Cab for hire. Patterson. Greensill.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Party membership only reflects party policy to a degree.</li><li>Parties are aware that they need to appeal to the electorate. If they are percieved to be too corrupt, and not serving the interests of the electorate, then the electorate will kick them out.</li><li>Lobbying Act 2014.&nbsp;</li></ul></td></tr></tbody></table>"
Evaluate the view that the tories are more divided than labour	<ul><li>Some would argue that the Tories are more united than labour.&nbsp;</li><ul><li>Tories subscribe to the Thatcherite consenus - they lifted the cap on bonuses, reduced stamp duty, they oppose windfall taxes.&nbsp;</li><li>Labour are divided on Blairite, Starmerite, Corbynite factions. Blair introduced PFI, changed clause 4, retained Thatcherite. Meanwhile, in 2019 Corbyn wanted to bring railways, water, utilities under national ownership. Clearly a divide&nbsp;</li></ul><li>However, this is a weak argument because the Tories are clearly more divided, due to the division between the Trussites and the One Nation.&nbsp;</li><ul><li>She was the opposite of the Cameron Conservatives - She wanted to borrow more and cut taxes.&nbsp;</li><li>In 2021, the party broke it's manifesto promise not to raise taxes, and increased national insurance contributions (later reversed though).&nbsp;</li><li>Covid related - Furlough (70bn). Energy price cap. Levelling up.&nbsp;</li><li>Significant portion of the Conservative party are not in favour of this interventionist group - e.g Free Enterprise Group.&nbsp;</li></ul></ul>
"<div>How did <a href=""https://www.theguardian.com/uk-news/2014/oct/27/swamped-and-riddled-toxic-phrases-wreck-politics-immigration-michael-fallon"">Thatcher respond in 1978 when asked about the</a> Conservative pledge to drastically cut migration if elected?</div><div><br></div>"	<ul><li><em>People are really rather afraid that this country might be rather <b>swamped</b> by people with a different culture and, you know, the British character has done so much for democracy, for law and done so much throughout the world that if there is any fear that it might be swamped people are going to react and be rather hostile to those coming in.</em></li></ul>
"Is Thatcherism still influencial on the <a href=""https://www.theguardian.com/politics/2022/jul/21/vote-me-get-thatcher-why-the-tories-are-still-obsessed-with-the-iron-lady"">Conservative party</a>?<br><img alt=""Illustration of Margaret Thatcher with Rishi Sunak and Liz Truss gripped in each hand"" src=""1713.jpg"">"	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Against&nbsp;</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">For</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Thatcher did not believe in magical tax cuts. She was not a 'fiscal boudicca' slashing and burning on faith alone.&nbsp;</li><li>truss was more Reaganite - her cap on household energy bill estimated to cost<a href=""https://www.theguardian.com/business/2022/oct/05/uk-price-cap-on-household-energy-bills-expected-to-cost-89bn#:~:text=Truss%20announced%20in%20early%20September,the%20cap%20to%20£3%2C549.""> £89billion</a></li><li>There is a conflict in the Conservative party between 'red wall Tories' like Jake Berry, who want to see more investment in the 'red wall' and levelling up. (Northern Research Group) A more statist approach.&nbsp;</li><li>Rishi Sunak was willing to adopt a statist approach as Chancellor - he spent £70bn on the job retention scheme, whilst Thatcher allowed 3 million to go unemployed with her monetarist policies.&nbsp;</li><li><br></li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Liz Truss promised a fiscal revolution, like Lawson's 88 budget. She promised to scrap the upper rate of income tax, slashed the rise in national insurance&nbsp;</li><li>She cancelled the rise in <a href=""https://www.theguardian.com/business/2022/oct/20/the-mini-budget-that-broke-britain-and-liz-truss"">corporation tax</a>.&nbsp;<b>Kamikaze economics, challenged treasury orthodoxy, she was a human hand grenade</b></li><li>She removed cap on bankers bonuses, like how Lawson deregulated.&nbsp;</li><li>According to the New Stateman, Sunak resembles an IMF official poised to impose a “<a href=""https://www.newstatesman.com/quickfire/2022/10/rishi-sunak-thatcherite-prime-minister-since-thatcher"">structural adjustment programme</a>” on a stricken developing world economy</li><li>Sunak Boasted to affluent members in Tunbridge Wells that he had taken money from 'deprived urban areas' and redistrubuted it to them&nbsp;</li><li>Thatcher was also anti-welfare. Norman Tebbit famously said 'my dad did not riot, he got on his bike and looked for work'. Margaret Thatcher was labelled 'milk snatcher' for cutting milk. Continues in the modern Tory party - <a href=""https://en.wikipedia.org/wiki/United_Kingdom_government_austerity_programme#:~:text=In%20a%20speech%20in%202013,period%20until%20at%20least%202018."">Rishi Sunak reversed the £20 uplift in universal credit</a>. Britainia unchained - Raab declared that the British are amongst the worst idlers in the world</li><li>Lee Anderson told the press that nursees don't<a href=""https://www.spectator.co.uk/article/lee-anderson-capital-punishment-100-effective/""> know how to budget properly and that capital punishment should be brought back. Thatcher was also in favour of capital punishment</a>. In 1983 her government tried but <a href=""https://www.nytimes.com/1983/07/14/world/commons-defeats-a-move-to-bring-back-hanging.html"">failed to make terrorism punishable by death</a></li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><img alt=""Margaret Thatcher campaigning for the single market in 1975"" src=""1438.jpg""><br><ul><li>Perhaps Thatcher's Euroscepticism was overstated, she had her criticisms of the European Union, but did not want to leave</li><li>Ken Clarke said that she never wanted to leave.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Her Bruges speech made her indignation towards <a href=""https://www.bbc.co.uk/news/uk-politics-11598879"">European integration very</a> clear.&nbsp;</li><li>She accused the EU of creating a super state that sought to erode national sovereignty.&nbsp;</li><li>Actively protested the single currency.</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Social issues - the party still remains the party of inflamatory rhetoric around immigration.&nbsp;</li><li>In an interview, Thatcher talked about the British people being 'swamped' by immigrants.&nbsp;</li><li>This rhetoric continues with Suella Braverman, illegal migration bill and stop the boats.&nbsp;</li><li>The party still has a neoconservative approach to LGBTQ issues - Rishi Sunak blocked the Scottish Gender Recognition Bill.&nbsp;</li><li>Topic of 'what makes a woman' is of huge political discourse in the party&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>However, the party have tried to detoxify and move away from the 'nasty party' image that was created by Thatcher's premiership.&nbsp;<br></li><li>Best example of the departure from Thatcherism can be seen in the decision by Cameron to legalise gay marriage - much more socially liberal.&nbsp;</li><li>Party currently have 26 LGBTQ members of Parliament, such as <a href=""https://www.spectator.co.uk/article/the-truth-about-life-as-a-gay-tory-mp/"">Chris Pincher</a>&nbsp;(although no longer has the whip)&nbsp;and Michael Fabricant&nbsp;</li><li>Theresa May tried to move socially to the left when she condemned the 'burning injustices' many in the country were facing.&nbsp;</li></ul></td></tr></tbody></table>"
What was party membership in 1950 and what is it now?	"<ul><li>Used to be 4 million</li><li>(might have only been this high because of the social benefits)</li><li><a href=""https://www.theguardian.com/news/datablog/2014/sep/29/labour-conservatvies-uk-party-membership-is-tiny"">3 Million Con, 1 Million Labour</a></li><li>Now around 750 thousand</li></ul>"
